pair,train_sharpe,test_sharpe,test_dd,score,sector
GODREJCP.NS-HINDUNILVR.NS,1.8707566791989267,2.874646279997346,0.022788243945513376,126.14048482127424,FMCG
ITC.NS-COLPAL.NS,1.014887042187726,1.5132095436980018,0.034786070525591795,43.49919440858865,FMCG
HDFCBANK.NS-PFC.NS,0.9418392925009089,1.8221952480838206,0.0471045047254649,38.68327616281234,FIN NIFTY
TORNTPHARM.NS-JBCHEPHARM.NS,1.403923124213492,2.096847228490835,0.07710877031272123,27.193016137734578,NIFTY PHARMA
SBIN.NS-FEDERALBNK.NS,1.0565270340311743,2.0162793134721513,0.08126599807926838,24.81055485161958,BANK NIFTY
GODREJCP.NS-MARICO.NS,1.2408312503855052,1.9323973992454153,0.08360905501751625,23.112021620373042,FMCG
VBL.NS-UBL.NS,1.0386669933760042,1.9786979495834711,0.08649495890286296,22.876189531647327,FMCG
SBILIFE.NS-ICICIGI.NS,1.3995456316371175,1.6674120609347853,0.07296693115336261,22.851299667935635,FIN NIFTY
UBL.NS-RADICO.NS,1.0409138707526475,1.6025951133952372,0.07385314486825922,21.699460690445214,FMCG
ABBOTINDIA.NS-TORNTPHARM.NS,1.165974790043183,1.1438000525827954,0.055987181594574054,20.42931240141658,NIFTY PHARMA
CHOLAFIN.NS-BAJAJFINSV.NS,0.7067707841988168,1.0411262102713812,0.052787685141656104,19.722525906405227,FIN NIFTY
INFY.NS-PERSISTENT.NS,0.7824046046324062,1.3677263074664932,0.07008700454184358,19.514413577717715,NIFTY IT
ABBOTINDIA.NS-SUNPHARMA.NS,0.848028827552529,1.1285869599201483,0.05893307268463566,19.149990973123014,NIFTY PHARMA
FEDERALBNK.NS-PNB.NS,1.1675248182522517,1.661676509088418,0.08853587979619937,18.768184658341088,BANK NIFTY
HCLTECH.NS-COFORGE.NS,1.419134105511343,1.4110954571558745,0.0831323355597624,16.973882350016794,NIFTY IT
JBCHEPHARM.NS-DIVISLAB.NS,1.0251138034674585,1.1927748424764586,0.07203690081481717,16.557601331868927,NIFTY PHARMA
SUNPHARMA.NS-TORNTPHARM.NS,0.8302589900228055,1.1697690346789194,0.07339449629873174,15.937885751433127,NIFTY PHARMA
SBICARD.NS-BAJFINANCE.NS,0.9517294920802092,1.3281702624898888,0.089035762735582,14.917099652805645,FIN NIFTY
FEDERALBNK.NS-AXISBANK.NS,0.891505554140698,1.0236566224334653,0.06869897255187518,14.900393470470526,BANK NIFTY
CANBK.NS-ICICIBANK.NS,1.0270965608691802,1.6458096030491027,0.11141636198904914,14.77157216494557,BANK NIFTY
SUNPHARMA.NS-AJANTPHARM.NS,0.7627485512791359,1.7818097286969237,0.1290285419674002,13.809316080088887,NIFTY PHARMA
VBL.NS-MARICO.NS,0.8451774217931329,1.491855764267463,0.10815112245058522,13.79404981117308,FMCG
KOTAKBANK.NS-CHOLAFIN.NS,1.3946158979679337,1.2298324094008073,0.09103773245108371,13.508892053847655,FIN NIFTY
DABUR.NS-EMAMILTD.NS,1.5387376250703235,1.227280385269056,0.09325387664705731,13.16049550860441,FMCG
ICICIGI.NS-SHRIRAMFIN.NS,1.3427422842349788,1.1198857483502858,0.09079992295190087,12.333418118927188,FIN NIFTY
ITC.NS-UBL.NS,1.001520835510101,1.126554877780372,0.0922464260530712,12.212317741334587,FMCG
NMDC.NS-HINDZINC.NS,1.25437205319311,1.3138173262853785,0.12003462790276331,10.945228089693972,NIFTY METAL
ICICIBANK.NS-YESBANK.NS,1.227104485966217,1.5341863148334847,0.15858345236057902,9.674254266396503,BANK NIFTY
CIPLA.NS-AJANTPHARM.NS,1.0212299304799137,1.0327178022971928,0.12325959079521387,8.378329161288528,NIFTY PHARMA
KOTAKBANK.NS-SHRIRAMFIN.NS,0.7044960716226449,1.0979410581813909,0.1318323227669964,8.328251424883701,FIN NIFTY
AJANTPHARM.NS-AUROPHARMA.NS,0.7321045429577577,1.301642561441829,0.16443533430825863,7.915784348498795,NIFTY PHARMA
SUNPHARMA.NS-IPCALAB.NS,0.832853270391858,1.0162539530536785,0.14312529511025895,7.100400050674097,NIFTY PHARMA
DIVISLAB.NS-AJANTPHARM.NS,0.914619335630758,1.052019020221444,0.15323669576864885,6.865275642161399,NIFTY PHARMA
ICICIBANK.NS-CHOLAFIN.NS,0.8298349977198436,1.0375841952374385,0.15752515697149216,6.586742260367669,FIN NIFTY
BAJAJ-AUTO.NS-MOTHERSON.NS,0.7325311111421917,1.0484810531032085,0.18861649056520857,5.558768966554187,NIFTY AUTO
HDFCBANK.NS-YESBANK.NS,1.0829966085657303,1.0429575942257454,0.20809417794835428,5.011925814468368,BANK NIFTY
